0<= x < 30; y_0 = 50.0 + 0.6x; interpolation 
10350<= x < 10380; y_345 = 4555.0 + -0.43333333333333335x; interpolation 
10380<= x < 10410; y_346 = -4095.0 + 0.4x; interpolation 
10410<= x < 10440; y_347 = 4580.0 + -0.43333333333333335x; interpolation 
10440<= x < 10470; y_348 = -2728.0 + 0.26666666666666666x; interpolation 
10470<= x < 10500; y_349 = 2507.0 + -0.23333333333333334x; interpolation 
10500<= x < 10530; y_350 = -4493.0 + 0.43333333333333335x; interpolation 
10530<= x < 10560; y_351 = -281.0 + 0.03333333333333333x; interpolation 
10560<= x < 10590; y_352 = 423.0 + -0.03333333333333333x; interpolation 
10590<= x < 10620; y_353 = 70.0 + 0.0x; interpolation 
10620<= x < 10650; y_354 = -992.0 + 0.1x; interpolation 
10650<= x < 10680; y_355 = 1493.0 + -0.13333333333333333x; interpolation 
10680<= x < 10710; y_356 = 5409.0 + -0.5x; interpolation 
10710<= x < 10740; y_357 = -6015.0 + 0.5666666666666667x; interpolation 
10740<= x < 10770; y_358 = 5799.0 + -0.5333333333333333x; interpolation 
10770<= x < 10800; y_359 = -6407.0 + 0.6x; interpolation 
10800<= x < 10830; y_360 = 7632.999999999999 + -0.7x; interpolation 
10830<= x < 10860; y_361 = -1031.0 + 0.1x; interpolation 
10860<= x < 10890; y_362 = -5737.0 + 0.5333333333333333x; interpolation 
10890<= x < 10920; y_363 = 71.0 + 0.0x; interpolation 
10920<= x < 10950; y_364 = -657.0 + 0.06666666666666667x; interpolation 
10950<= x < 10980; y_365 = 1168.0 + -0.1x; interpolation 
10980<= x < 11010; y_366 = -1028.0 + 0.1x; interpolation 
11010<= x < 11040; y_367 = 6679.0 + -0.6x; interpolation 
11040<= x < 11070; y_368 = -6569.0 + 0.6x; interpolation 
11070<= x < 11100; y_369 = 6346.0 + -0.5666666666666667x; interpolation 
11100<= x < 11130; y_370 = -5864.0 + 0.5333333333333333x; interpolation 
11130<= x < 11160; y_371 = 6379.0 + -0.5666666666666667x; interpolation 
11160<= x < 11190; y_372 = -317.0 + 0.03333333333333333x; interpolation 
11190<= x < 11220; y_373 = -5539.0 + 0.5x; interpolation 
11220<= x < 11250; y_374 = 4933.0 + -0.43333333333333335x; interpolation 
11250<= x < 11280; y_375 = -4067.0 + 0.36666666666666664x; interpolation 
11280<= x < 11310; y_376 = 4581.0 + -0.4x; interpolation 
